tweet_id,favorites,retweet_count
800751577355128832,10441,2747
800513324630806528,12971,2944
800459316964663297,9384,2137
800443802682937345,0,4227
800388270626521089,11012,2759
800188575492947969,0,3858
800141422401830912,15070,2490
800018252395122689,27944,12880
799774291445383169,0,4576
799757965289017345,8276,2117
799422933579902976,7952,1890
799308762079035393,0,5359
799297110730567681,9738,2696
799063482566066176,7986,2431
798933969379225600,12902,4373
798925684722855936,7417,1416
798705661114773508,0,6519
798701998996647937,0,7621
798697898615730177,0,6405
798694562394996736,0,4863
798686750113755136,0,2289
798682547630837760,0,4662
798673117451325440,0,5468
798665375516884993,0,3845
798644042770751489,0,1815
798628517273620480,0,1942
798585098161549313,0,5565
798576900688019456,0,5734
798340744599797760,0,3266
798209839306514432,10274,2503
797971864723324932,11429,3047
797545162159308800,14374,4795
797236660651966464,19665,6438
797165961484890113,223,26
796904159865868288,0,8759
796865951799083009,7577,1888
796759840936919040,11634,2978
796563435802726400,0,7086
796484825502875648,7466,1722
796387464403357696,10844,4068
796177847564038144,0,14012
796149749086875649,31811,14012
796125600683540480,4899,1762
796116448414461957,8963,2359
796080075804475393,8346,2262
796031486298386433,10653,3653
795464331001561088,48804,23103
795400264262053889,9887,2802
795076730285391872,15978,5349
794983741416415232,0,3306
794926597468000259,10081,2270
794355576146903043,0,10088
794332329137291264,9478,2630
794205286408003585,9116,3258
793962221541933056,16596,4798
793845145112371200,9107,1823
793614319594401792,0,3075
793601777308463104,7876,1584
793500921481273345,10525,2335
793286476301799424,24252,8997
793271401113350145,8578,2352
793256262322548741,19716,8193
793241302385262592,10365,3235
793226087023144960,9671,2829
793210959003287553,8811,2746
793195938047070209,15054,5514
793180763617361921,6843,1964
793165685325201412,9263,2734
793150605191548928,6103,1668
793135492858580992,6315,2456
793120401413079041,12481,3837
792913359805018113,14101,3898
792883833364439040,11134,4182
792773781206999040,7255,1646
792394556390137856,13216,4226
792050063153438720,7036,1754
791821351946420224,0,20693
791784077045166082,0,9368
791780927877898241,0,3749
791774931465953280,44442,21742
791672322847637504,11582,3075
791406955684368384,12960,4034
791312159183634433,8636,2483
791026214425268224,0,4014
790987426131050500,9676,2091
790946055508652032,16435,4593
790723298204217344,0,2261
790698755171364864,8079,1884
790581949425475584,20354,6969
790337589677002753,7716,1852
790277117346975746,12377,3117
790227638568808452,0,3488
789986466051088384,9118,2261
789960241177853952,0,4016
789903600034189313,10192,4058
789628658055020548,7373,1731
789599242079838210,6638,1884
789530877013393408,11544,3306
789314372632018944,8514,2248
789280767834746880,0,4823
789268448748703744,8976,2560
789137962068021249,9565,2731
788908386943430656,27026,12241
788765914992902144,26912,10088
788552643979468800,0,7003
788412144018661376,15301,5158
788178268662984705,7128,2052
788150585577050112,6024,1253
788070120937619456,0,3364
788039637453406209,6033,1282
787810552592695296,8491,2986
787717603741622272,10100,2716
787397959788929025,10726,2791
787322443945877504,7674,1704
787111942498508800,0,6609
786963064373534720,26228,7810
786729988674449408,0,2382
786709082849828864,17980,6000
786664955043049472,10421,2482
786595970293370880,9319,3067
786363235746385920,10715,3401
786286427768250368,7849,2772
786233965241827333,15003,4605
786051337297522688,1401,153
786036967502913536,0,6833
785927819176054784,11212,3123
785872687017132033,6604,1761
785639753186217984,7744,2191
785533386513321988,8949,1947
785515384317313025,6018,1228
785264754247995392,7153,1591
785170936622350336,11839,4718
784826020293709826,9936,3168
784517518371221505,8828,2471
784431430411685888,5638,1242
784183165795655680,19707,7843
784057939640352768,29233,10833
783839966405230592,29473,10538
783821107061198850,7242,1914
783695101801398276,10283,3140
783466772167098368,8298,2179
783391753726550016,16600,5333
783347506784731136,0,5402
783334639985389568,28595,11391
783085703974514689,8027,2141
782969140009107456,23726,7182
